                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0632,                 3.7874,                 1.4282,                0.11501,                0.38369,                0.15667,                0.11432,                0.92984,                 3.6685,                 1.3817,             0.00020635,             0.00020635,             0.00020635
                      2,                 1.0523,                 2.9515,                 1.3714,                0.30306,                0.54422,                0.34642,                 0.2442,                 1.0081,                 3.4756,                 1.4012,             0.00041058,             0.00041058,             0.00041058
                      3,                 1.0756,                 2.5915,                 1.3503,                0.41164,                 0.6097,                0.47922,                0.34458,                0.98296,                 2.7346,                 1.4001,             0.00061068,             0.00061068,             0.00061068
                      4,                  1.068,                 2.2891,                 1.3223,                0.55709,                0.56372,                0.56767,                0.39412,                   1.06,                 2.6741,                 1.4358,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.0617,                 2.0965,                 1.3129,                0.40016,                0.53386,                0.46775,                0.31828,                 1.1275,                 2.8123,                 1.5151,             0.00060644,             0.00060644,             0.00060644
                      6,                 1.0453,                 1.9631,                 1.2933,                0.54984,                0.69958,                0.68429,                0.50046,                0.91907,                 2.0445,                 1.2865,             0.00060025,             0.00060025,             0.00060025
                      7,                0.98174,                 1.8088,                 1.2463,                0.55078,                0.68017,                0.66434,                 0.4888,                0.92544,                 1.9472,                 1.3031,             0.00059406,             0.00059406,             0.00059406
                      8,                 1.0228,                 1.6913,                  1.266,                0.59526,                0.68801,                0.68388,                0.50269,                0.92469,                 1.7573,                 1.3145,             0.00058787,             0.00058787,             0.00058787
                      9,                0.98883,                 1.6391,                 1.2483,                0.69032,                0.69983,                0.74575,                0.53973,                 0.9198,                 1.5352,                 1.3083,             0.00058169,             0.00058169,             0.00058169
                     10,                0.99869,                 1.5297,                  1.245,                0.72019,                 0.7171,                0.79599,                0.59644,                0.89654,                 1.3824,                 1.2877,              0.0005755,              0.0005755,              0.0005755
                     11,                0.97819,                 1.4206,                  1.242,                0.73927,                0.76004,                 0.8255,                0.61616,                0.91854,                 1.4514,                  1.285,             0.00056931,             0.00056931,             0.00056931
                     12,                0.96052,                 1.4468,                  1.224,                 0.6939,                0.75003,                0.79989,                0.60159,                0.87506,                 1.3518,                 1.2444,             0.00056313,             0.00056313,             0.00056313
                     13,                0.95293,                 1.3236,                 1.2237,                0.73775,                0.76609,                0.84557,                0.62932,                0.89724,                 1.2631,                  1.267,             0.00055694,             0.00055694,             0.00055694
                     14,                0.93993,                 1.2992,                 1.2225,                0.78421,                0.77674,                 0.8559,                0.63744,                0.92433,                 1.1179,                 1.2809,             0.00055075,             0.00055075,             0.00055075
                     15,                0.93949,                 1.2309,                 1.2025,                0.79257,                 0.7828,                0.85747,                0.64332,                0.87686,                 1.1146,                 1.2322,             0.00054456,             0.00054456,             0.00054456
                     16,                0.93996,                 1.2036,                 1.2083,                0.79573,                0.75526,                0.83525,                0.63463,                0.87432,                 1.1232,                 1.2465,             0.00053838,             0.00053838,             0.00053838
                     17,                0.94607,                 1.1588,                 1.2106,                0.80808,                0.77087,                0.86762,                0.66602,                0.86043,                 1.0566,                 1.2163,             0.00053219,             0.00053219,             0.00053219
                     18,                0.93935,                 1.1691,                 1.2006,                0.82636,                0.73919,                0.87397,                0.66205,                0.88258,                 1.0669,                 1.2476,               0.000526,               0.000526,               0.000526
                     19,                 0.9144,                 1.1276,                 1.2003,                  0.889,                0.79474,                0.88972,                0.69216,                0.83672,                 0.8947,                 1.2015,             0.00051981,             0.00051981,             0.00051981
                     20,                0.91739,                 1.0821,                 1.1941,                0.80429,                0.82366,                0.87397,                0.65675,                0.89364,                 1.0454,                 1.2506,             0.00051363,             0.00051363,             0.00051363
                     21,                0.94018,                 1.0971,                 1.2008,                0.71796,                0.79892,                0.80641,                0.61768,                0.86153,                 1.0974,                 1.2108,             0.00050744,             0.00050744,             0.00050744
                     22,                0.90115,                 1.0562,                 1.1792,                0.84164,                0.80095,                0.88889,                0.69314,                0.84126,                0.89889,                 1.2119,             0.00050125,             0.00050125,             0.00050125
                     23,                0.89619,                 1.0624,                 1.1927,                 0.8829,                 0.7843,                0.89924,                0.69157,                0.84564,                0.85888,                 1.2076,             0.00049506,             0.00049506,             0.00049506
                     24,                0.88717,                0.97705,                 1.1737,                0.82837,                0.83918,                0.90053,                0.70032,                0.83383,                 0.8512,                 1.2001,             0.00048888,             0.00048888,             0.00048888
