                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72759,                0.97977,                 1.2187,                0.95437,                0.86065,                0.96306,                0.79059,                0.69826,                0.68773,                 1.2786,             0.00040816,             0.00040816,             0.00040816
                      2,                0.74309,                0.89156,                 1.2236,                0.79213,                0.91543,                0.90662,                0.69418,                0.86807,                0.90321,                 1.4157,             0.00081666,             0.00081666,             0.00081666
                      3,                0.78675,                0.95786,                 1.2531,                0.51221,                0.73732,                0.71316,                0.51051,                0.96093,                 1.9444,                 1.5433,              0.0012169,              0.0012169,              0.0012169
                      4,                0.84338,                 1.0075,                 1.2927,                0.83125,                0.82252,                0.90768,                0.67834,                0.88153,                0.97904,                 1.4622,              0.0012129,              0.0012129,              0.0012129
                      5,                0.85049,                 0.9898,                 1.2942,                0.83092,                0.85992,                0.92481,                0.66311,                0.95533,                0.96107,                 1.5243,              0.0012129,              0.0012129,              0.0012129
                      6,                0.82403,                0.96151,                 1.2692,                0.79868,                0.80349,                0.86536,                0.61772,                0.95536,                 1.0591,                 1.5328,              0.0012005,              0.0012005,              0.0012005
                      7,                0.83681,                0.98805,                 1.2874,                0.86484,                0.86489,                0.93148,                0.71709,                0.83991,                 0.8492,                 1.4246,              0.0011881,              0.0011881,              0.0011881
                      8,                0.80408,                 0.9586,                 1.2565,                0.87685,                0.86066,                0.91801,                0.66823,                0.94695,                0.88525,                 1.4983,              0.0011757,              0.0011757,              0.0011757
                      9,                0.83927,                0.94316,                 1.2677,                0.84399,                0.82329,                0.88605,                0.61107,                 1.1113,                0.93708,                 1.8009,              0.0011634,              0.0011634,              0.0011634
                     10,                0.84496,                0.90561,                 1.2944,                0.83784,                 0.7662,                0.85288,                0.57449,                 1.1364,                  1.058,                 1.7415,               0.001151,               0.001151,               0.001151
                     11,                0.83413,                0.89513,                 1.2767,                0.77203,                0.87467,                0.86597,                0.59453,                 1.0391,                 1.0341,                 1.6184,              0.0011386,              0.0011386,              0.0011386
                     12,                0.80749,                0.90192,                 1.2677,                 0.8113,                0.86653,                0.89927,                 0.6342,                0.99792,                0.89912,                 1.5509,              0.0011263,              0.0011263,              0.0011263
                     13,                 0.8093,                0.89598,                 1.2607,                 0.8205,                0.86084,                0.91371,                0.68026,                0.84612,                0.85398,                 1.3966,              0.0011139,              0.0011139,              0.0011139
                     14,                0.79617,                0.87239,                 1.2586,                0.88158,                0.88756,                0.93338,                0.67641,                0.95451,                0.82324,                 1.5332,              0.0011015,              0.0011015,              0.0011015
                     15,                0.80438,                0.89208,                 1.2769,                 0.8759,                0.86928,                0.92551,                 0.7143,                 0.7993,                0.74051,                 1.3537,              0.0010891,              0.0010891,              0.0010891
                     16,                0.80063,                0.92471,                 1.2752,                0.83894,                0.87033,                0.92657,                 0.6986,                0.81455,                 0.7832,                 1.3492,              0.0010768,              0.0010768,              0.0010768
                     17,                0.79972,                0.87165,                 1.2612,                0.83556,                0.87036,                0.90321,                0.63225,                0.94369,                0.89682,                  1.553,              0.0010644,              0.0010644,              0.0010644
                     18,                0.78379,                 0.8789,                 1.2478,                0.83013,                0.87587,                0.90952,                0.71297,                 0.7773,                0.81678,                 1.3543,               0.001052,               0.001052,               0.001052
                     19,                0.76648,                0.82802,                 1.2303,                0.77775,                0.84958,                0.85471,                0.68205,                0.74861,                0.97042,                 1.3285,              0.0010396,              0.0010396,              0.0010396
                     20,                0.76054,                0.81447,                 1.2328,                0.90087,                0.87755,                0.94624,                0.75174,                0.75821,                0.68157,                 1.3153,              0.0010273,              0.0010273,              0.0010273
                     21,                0.73062,                0.81023,                 1.2175,                0.84635,                0.93147,                0.94064,                0.72741,                 0.8624,                 0.7045,                  1.457,              0.0010149,              0.0010149,              0.0010149
                     22,                0.72065,                  0.761,                 1.2037,                0.82948,                0.88865,                0.93572,                0.73313,                0.75254,                 0.7741,                  1.319,              0.0010025,              0.0010025,              0.0010025
                     23,                0.74259,                0.77623,                 1.2266,                0.90507,                0.90549,                0.95962,                0.77179,                0.72604,                0.63622,                 1.2709,             0.00099013,             0.00099013,             0.00099013
                     24,                0.71584,                0.74492,                 1.2092,                0.88635,                0.88126,                0.94134,                0.73891,                0.77165,                0.70759,                 1.3339,             0.00097775,             0.00097775,             0.00097775
                     25,                0.74163,                0.78224,                 1.2282,                 0.9463,                0.91507,                 0.9614,                0.74747,                0.82939,                0.61955,                 1.3959,             0.00096537,             0.00096537,             0.00096537
                     26,                0.71518,                0.79162,                 1.1961,                  0.878,                0.91596,                0.95393,                0.76228,                 0.7817,                 0.6224,                 1.3402,               0.000953,               0.000953,               0.000953
                     27,                0.71061,                0.74542,                 1.2012,                 0.9039,                0.95257,                0.97179,                0.79239,                0.73962,                0.59848,                 1.3201,             0.00094062,             0.00094062,             0.00094062
                     28,                0.68564,                0.72956,                 1.1878,                0.86458,                0.87441,                 0.9305,                0.75331,                0.77423,                0.69886,                 1.3448,             0.00092825,             0.00092825,             0.00092825
                     29,                0.71338,                0.72776,                 1.2022,                0.94691,                0.89606,                0.96799,                 0.7824,                0.70338,                 0.6442,                 1.2628,             0.00091588,             0.00091588,             0.00091588
                     30,                0.67605,                0.68561,                 1.1779,                0.86899,                0.85447,                0.92785,                0.72452,                0.76762,                0.72886,                 1.3699,              0.0009035,              0.0009035,              0.0009035
                     31,                0.68563,                0.69074,                 1.1865,                0.91957,                0.84523,                0.95025,                0.78462,                0.71246,                0.67204,                 1.2772,             0.00089112,             0.00089112,             0.00089112
                     32,                0.66364,                0.68167,                 1.1683,                0.95818,                0.88292,                0.97281,                0.79652,                0.70839,                0.56559,                 1.2552,             0.00087875,             0.00087875,             0.00087875
                     33,                  0.661,                0.68276,                  1.165,                0.93274,                0.95604,                0.97879,                0.79751,                0.70717,                0.51818,                 1.2992,             0.00086637,             0.00086637,             0.00086637
                     34,                0.64176,                 0.6404,                 1.1513,                0.94822,                0.90081,                0.97202,                0.80685,                0.68565,                0.54143,                 1.2885,               0.000854,               0.000854,               0.000854
                     35,                 0.6595,                0.65311,                 1.1677,                0.83995,                0.78072,                0.87559,                0.72745,                0.67623,                 1.0404,                 1.2707,             0.00084162,             0.00084162,             0.00084162
                     36,                0.66193,                0.65851,                 1.1586,                0.90538,                0.88473,                0.95742,                0.78251,                0.70172,                0.62932,                  1.288,             0.00082925,             0.00082925,             0.00082925
                     37,                0.64648,                0.63812,                 1.1505,                0.93511,                0.89046,                0.95078,                0.79619,                 0.6545,                 0.6189,                 1.2233,             0.00081688,             0.00081688,             0.00081688
                     38,                0.64513,                0.63543,                  1.144,                0.91349,                0.92197,                0.95605,                0.79673,                0.67014,                0.53554,                  1.231,              0.0008045,              0.0008045,              0.0008045
                     39,                 0.6308,                0.60617,                 1.1448,                0.93292,                0.93094,                 0.9681,                0.79279,                0.70484,                0.57713,                 1.2505,             0.00079213,             0.00079213,             0.00079213
                     40,                0.64676,                0.64215,                 1.1639,                0.89806,                0.87149,                0.95354,                0.77953,                0.68588,                0.65501,                 1.2518,             0.00077975,             0.00077975,             0.00077975
                     41,                0.62621,                0.63184,                 1.1415,                 0.9545,                0.90081,                0.95282,                0.76281,                0.73868,                0.58282,                 1.3297,             0.00076738,             0.00076738,             0.00076738
                     42,                0.60585,                0.58532,                 1.1328,                0.86594,                  0.901,                0.93271,                0.73172,                0.76335,                0.67879,                 1.3127,               0.000755,               0.000755,               0.000755
                     43,                0.62998,                0.61931,                 1.1434,                0.94755,                0.92581,                0.97246,                0.81277,                0.66739,                0.54214,                 1.2261,             0.00074263,             0.00074263,             0.00074263
                     44,                0.62641,                0.62869,                 1.1428,                0.92496,                0.89656,                0.97095,                0.80708,                 0.6558,                0.55779,                 1.2329,             0.00073025,             0.00073025,             0.00073025
                     45,                0.63189,                0.62868,                 1.1479,                0.91741,                0.94393,                0.95932,                0.80667,                 0.6592,                0.56643,                 1.2216,             0.00071788,             0.00071788,             0.00071788
                     46,                 0.6046,                0.59431,                 1.1291,                0.95068,                0.91082,                0.97405,                0.82631,                0.63366,                0.48955,                 1.2079,              0.0007055,              0.0007055,              0.0007055
                     47,                0.60774,                0.61505,                 1.1315,                  0.948,                0.93264,                0.97609,                0.84609,                0.61976,                0.48227,                 1.1781,             0.00069313,             0.00069313,             0.00069313
                     48,                0.59836,                0.57944,                 1.1197,                 0.9271,                0.93331,                0.96762,                0.83212,                0.62992,                0.53295,                 1.1766,             0.00068075,             0.00068075,             0.00068075
