                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55294,                0.50276,                 1.0864,                0.93816,                 0.9133,                0.95693,                0.80388,                0.67921,                0.53894,                 1.2678,             0.00082925,             0.00082925,             0.00082925
                     37,                0.52167,                0.47631,                 1.0689,                0.90302,                0.96715,                0.97393,                0.81979,                0.64915,                0.48288,                 1.2247,             0.00081688,             0.00081688,             0.00081688
                     38,                0.53092,                0.48906,                 1.0687,                 0.9072,                0.95437,                0.97042,                0.81912,                0.65206,                0.47332,                 1.2399,              0.0008045,              0.0008045,              0.0008045
                     39,                0.52325,                0.46187,                 1.0709,                0.92573,                  0.934,                0.96886,                0.81292,                0.63446,                0.49041,                 1.2116,             0.00079213,             0.00079213,             0.00079213
                     40,                0.54038,                0.50528,                 1.0895,                0.89561,                0.86135,                0.91293,                0.74132,                0.69129,                0.66642,                 1.2825,             0.00077975,             0.00077975,             0.00077975
                     41,                0.53502,                0.49515,                 1.0785,                0.93879,                0.93146,                0.96362,                0.80262,                0.70777,                 0.5122,                 1.3174,             0.00076738,             0.00076738,             0.00076738
                     42,                0.51536,                0.44541,                  1.062,                0.93953,                0.93154,                0.96813,                0.81684,                0.62852,                0.48704,                 1.2228,               0.000755,               0.000755,               0.000755
                     43,                0.53014,                0.48275,                 1.0708,                0.94208,                0.94373,                0.97087,                  0.824,                0.61765,                0.45653,                 1.1973,             0.00074263,             0.00074263,             0.00074263
                     44,                0.52622,                 0.4745,                 1.0742,                 0.9295,                0.96177,                0.96929,                0.83054,                0.60618,                0.41624,                 1.1938,             0.00073025,             0.00073025,             0.00073025
                     45,                0.52944,                0.48068,                 1.0764,                0.95865,                0.95031,                0.97814,                0.84038,                 0.6238,                0.43852,                 1.2065,             0.00071788,             0.00071788,             0.00071788
                     46,                 0.5045,                0.46177,                 1.0597,                0.94937,                0.96144,                0.97754,                0.83598,                0.60269,                 0.4217,                 1.1847,              0.0007055,              0.0007055,              0.0007055
                     47,                0.51412,                0.47563,                 1.0743,                0.89086,                0.94661,                0.95285,                0.80626,                0.64157,                0.55672,                 1.2301,             0.00069313,             0.00069313,             0.00069313
                     48,                0.50292,                0.46251,                 1.0623,                0.96483,                 0.9394,                0.97267,                0.85204,                0.58423,                0.43743,                 1.1523,             0.00068075,             0.00068075,             0.00068075
                     49,                0.49823,                0.45499,                 1.0507,                 0.9204,                0.94644,                0.95295,                 0.8018,                0.61396,                0.47827,                  1.213,             0.00066838,             0.00066838,             0.00066838
                     50,                0.51612,                0.46079,                 1.0741,                0.90348,                0.95533,                0.95505,                0.82809,                0.58473,                0.44376,                 1.1719,               0.000656,               0.000656,               0.000656
                     51,                 0.4756,                0.41214,                 1.0362,                0.93755,                0.94917,                0.97486,                0.85567,                0.58832,                0.41545,                 1.1387,             0.00064362,             0.00064362,             0.00064362
